Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,,
2007-10-31,10643.09765625,10643.2998046875,10726.650390625,10575.7001953125,10631.7001953125,0
2007-11-01,10467.0517578125,10467.25,10865.7998046875,10406.2998046875,10757.0498046875,0
2007-11-02,10597.4990234375,10597.7001953125,10613.400390625,10209.849609375,10517.650390625,0
2007-11-05,10600.798828125,10601.0,10828.7001953125,10553.400390625,10582.5,0
2007-11-06,10466.2021484375,10466.400390625,10807.0,10378.849609375,10658.849609375,0
2007-11-07,10431.052734375,10431.25,10669.150390625,10281.150390625,10556.900390625,0
2007-11-08,10460.501953125,10460.7001953125,10513.7998046875,10216.25,10397.099609375,0
2007-11-12,10304.6044921875,10304.7998046875,10359.5,10020.349609375,10284.7001953125,0
2007-11-13,10556.9501953125,10557.150390625,10618.650390625,10310.349609375,10316.400390625,0
2007-11-14,10850.1943359375,10850.400390625,10869.150390625,10640.400390625,10640.400390625,0
2007-11-15,11014.890625,11015.099609375,11150.7998046875,10867.7001953125,10868.5,0
2007-11-16,11130.9892578125,11131.2001953125,11258.849609375,10935.650390625,10996.099609375,0
2007-11-19,11600.080078125,11600.2998046875,11630.0,11224.900390625,11248.75,0
2007-11-20,11405.333984375,11405.5498046875,11740.9501953125,11311.0498046875,11607.5498046875,0
2007-11-21,10802.044921875,10802.25,11542.5,10699.7998046875,11409.0,0
2007-11-22,10829.9951171875,10830.2001953125,10956.2998046875,10442.7001953125,10800.650390625,0
2007-11-23,10948.8916015625,10949.099609375,11091.599609375,10753.400390625,10867.5498046875,0
2007-11-26,11106.0888671875,11106.2998046875,11184.0,11026.7998046875,11026.7998046875,0
2007-11-27,11203.087890625,11203.2998046875,11218.4501953125,11019.7001953125,11087.9501953125,0
2007-11-28,11137.8388671875,11138.0498046875,11427.650390625,11094.400390625,11194.900390625,0
2007-11-29,11041.94140625,11042.150390625,11381.5498046875,11002.5498046875,11302.349609375,0
2007-11-30,11431.43359375,11431.650390625,11473.7998046875,11116.75,11116.75,0
2007-12-03,11733.3271484375,11733.5498046875,11759.0,11471.599609375,11471.599609375,0
2007-12-04,11840.375,11840.599609375,11875.7001953125,11747.099609375,11780.849609375,0
2007-12-05,12015.572265625,12015.7998046875,12032.7998046875,11807.5,11846.2998046875,0
2007-12-06,11919.32421875,11919.5498046875,12184.4501953125,11837.25,12049.9501953125,0
2007-12-07,11944.7236328125,11944.9501953125,12057.2001953125,11675.4501953125,11953.400390625,0
2007-12-10,12002.8720703125,12003.099609375,12038.099609375,11832.2001953125,12020.0498046875,0
2007-12-11,12059.2216796875,12059.4501953125,12176.2001953125,12034.2001953125,12127.0,0
2007-12-12,12189.71875,12189.9501953125,12204.349609375,11898.900390625,11964.900390625,0
2007-12-13,12237.5673828125,12237.7998046875,12371.650390625,12208.2998046875,12248.2998046875,0
2007-12-14,12289.216796875,12289.4501953125,12351.599609375,12180.9501953125,12231.0498046875,0
2007-12-17,11700.728515625,11700.9501953125,12328.099609375,11569.150390625,12230.2998046875,0
2007-12-18,11680.1279296875,11680.349609375,11805.7001953125,11455.0498046875,11760.849609375,0
2007-12-19,11669.4794921875,11669.7001953125,11969.2998046875,11511.150390625,11743.650390625,0
2007-12-20,11648.4296875,11648.650390625,11784.900390625,11612.349609375,11612.9501953125,0
2007-12-24,11919.1240234375,11919.349609375,11932.75,11708.9501953125,11708.9501953125,0
2007-12-26,12239.1171875,12239.349609375,12246.5498046875,11952.0498046875,11968.150390625,0
2007-12-27,12082.0205078125,12082.25,12315.099609375,12062.9501953125,12256.900390625,0
2007-12-28,12365.166015625,12365.400390625,12374.599609375,12015.099609375,12078.599609375,0
2007-12-31,12488.013671875,12488.25,12533.9501953125,12377.5,12426.9501953125,0
2008-01-01,12638.560546875,12638.7998046875,12664.599609375,12401.7998046875,12488.650390625,0
2008-01-02,12911.455078125,12911.7001953125,12933.0,12583.099609375,12685.0498046875,0
2008-01-03,12980.7041015625,12980.9501953125,13042.5498046875,12835.349609375,12861.849609375,0
2008-01-04,13069.2021484375,13069.4501953125,13209.349609375,13008.849609375,13008.849609375,0
2008-01-07,13020.1533203125,13020.400390625,13179.150390625,12793.2001953125,12848.849609375,0
2008-01-08,12747.708984375,12747.9501953125,13144.2001953125,12579.849609375,13042.25,0
2008-01-09,12861.005859375,12861.25,12988.2001953125,12649.5,12761.650390625,0
2008-01-10,12391.564453125,12391.7998046875,13013.2001953125,12352.7001953125,12875.7998046875,0
2008-01-11,12465.9638671875,12466.2001953125,12531.349609375,12133.9501953125,12422.2998046875,0
2008-01-14,12789.607421875,12789.849609375,12816.75,12547.2998046875,12575.75,0
2008-01-15,12539.3623046875,12539.599609375,12914.650390625,12501.7001953125,12830.650390625,0
2008-01-16,12308.31640625,12308.5498046875,12459.150390625,11994.650390625,12459.150390625,0
2008-01-17,12251.017578125,12251.25,12453.849609375,12204.4501953125,12360.2001953125,0
2008-01-18,11496.482421875,11496.7001953125,12225.75,11425.599609375,12205.400390625,0
2008-01-21,10081.55859375,10081.75,11454.4501953125,9587.349609375,11454.4501953125,0
2008-01-22,9406.1708984375,9406.349609375,9701.5,8336.5498046875,9614.25,0
2008-01-23,10219.40625,10219.599609375,10484.4501953125,9652.150390625,9652.150390625,0
2008-01-24,9879.3125,9879.5,10632.9501953125,9651.2001953125,10430.0498046875,0
2008-01-25,10696.447265625,10696.650390625,10748.150390625,9962.5498046875,9973.900390625,0
2008-01-28,10689.1474609375,10689.349609375,10733.2001953125,10168.2998046875,10550.099609375,0
2008-01-29,10562.5498046875,10562.75,10908.650390625,10411.5498046875,10747.2998046875,0
2008-01-30,10234.9052734375,10235.099609375,10573.75,10179.0498046875,10552.5498046875,0
2008-01-31,10129.8076171875,10130.0,10380.150390625,9886.4501953125,10271.25,0
2008-02-01,10219.15625,10219.349609375,10308.75,9980.75,10269.75,0
2008-02-04,10534.701171875,10534.900390625,10648.650390625,10342.650390625,10342.650390625,0
2008-02-05,10587.25,10587.4501953125,10684.400390625,10440.2998046875,10496.599609375,0
2008-02-06,10342.9033203125,10343.099609375,10400.900390625,10147.25,10321.0,0
2008-02-07,9967.9619140625,9968.150390625,10474.5,9944.25,10357.9501953125,0
2008-02-08,9740.4150390625,9740.599609375,10038.5,9581.7001953125,9965.599609375,0
2008-02-11,9212.0751953125,9212.25,9769.7001953125,9096.2998046875,9769.7001953125,0
2008-02-12,9172.826171875,9173.0,9401.2001953125,9025.599609375,9262.900390625,0
2008-02-13,9209.275390625,9209.4501953125,9376.150390625,9085.0,9238.0498046875,0
2008-02-14,9742.8154296875,9743.0,9767.0498046875,9378.349609375,9378.349609375,0
2008-02-15,9927.01171875,9927.2001953125,9946.7001953125,9540.400390625,9600.900390625,0
2008-02-18,9954.01171875,9954.2001953125,10078.7998046875,9921.900390625,9982.7001953125,0
2008-02-19,9975.310546875,9975.5,10115.5,9889.25,10012.349609375,0
2008-02-20,9688.3662109375,9688.5498046875,9948.2998046875,9617.900390625,9939.599609375,0
2008-02-21,9725.7158203125,9725.900390625,9929.2001953125,9597.2001953125,9708.0,0
2008-02-22,9558.91796875,9559.099609375,9659.349609375,9532.0,9659.349609375,0
2008-02-25,9616.017578125,9616.2001953125,9677.5498046875,9388.150390625,9614.5,0
2008-02-26,9775.5146484375,9775.7001953125,9807.2998046875,9622.900390625,9622.900390625,0
2008-02-27,9794.46484375,9794.650390625,9987.5498046875,9750.25,9827.099609375,0
2008-02-28,9657.8671875,9658.0498046875,9799.849609375,9598.849609375,9796.25,0
2008-02-29,9635.9169921875,9636.099609375,9691.0498046875,9397.2001953125,9608.349609375,0
2008-03-03,9064.177734375,9064.349609375,9526.400390625,9036.2001953125,9526.400390625,0
2008-03-04,8762.0341796875,8762.2001953125,9125.5,8533.5,9070.400390625,0
2008-03-05,8663.986328125,8664.150390625,8816.2998046875,8572.150390625,8758.650390625,0
2008-03-07,8242.943359375,8243.099609375,8556.349609375,8058.9501953125,8556.349609375,0
2008-03-10,8241.6435546875,8241.7998046875,8279.0,7843.10009765625,8110.75,0
2008-03-11,8614.787109375,8614.9501953125,8635.9501953125,8113.89990234375,8170.9501953125,0
2008-03-12,8586.9873046875,8587.150390625,8988.650390625,8528.900390625,8794.5498046875,0
2008-03-13,8001.248046875,8001.39990234375,8443.900390625,7933.39990234375,8443.900390625,0
2008-03-14,8209.5947265625,8209.75,8263.5498046875,7953.39990234375,8029.7001953125,0
2008-03-17,7577.1064453125,7577.25,7991.5498046875,7534.2001953125,7991.5498046875,0
2008-03-18,7473.00830078125,7473.14990234375,7677.0498046875,7397.7001953125,7541.4501953125,0
2008-03-19,7431.00927734375,7431.14990234375,7873.0498046875,7394.0,7691.35009765625,0
2008-03-24,7338.9609375,7339.10009765625,7548.5,7235.25,7451.5498046875,0
2008-03-25,7954.84912109375,7955.0,8001.60009765625,7459.9501953125,7459.9501953125,0
2008-03-26,8034.6474609375,8034.7998046875,8109.2998046875,7894.25,7978.85009765625,0
2008-03-27,7979.6484375,7979.7998046875,8115.0498046875,7918.60009765625,7950.2001953125,0
2008-03-28,8296.8427734375,8297.0,8337.4501953125,7955.9501953125,8015.4501953125,0
2008-03-31,7975.5986328125,7975.75,8223.0,7927.2998046875,8223.0,0
2008-04-01,7894.55078125,7894.7001953125,8085.39990234375,7801.14990234375,7982.75,0
2008-04-02,7969.84912109375,7970.0,8210.25,7942.5,7963.5498046875,0
2008-04-03,7963.69921875,7963.85009765625,8027.9501953125,7925.64990234375,7978.9501953125,0
2008-04-04,7774.15234375,7774.2998046875,7979.7001953125,7741.39990234375,7974.25,0
2008-04-07,7982.6484375,7982.7998046875,8010.89990234375,7699.35009765625,7842.64990234375,0
2008-04-08,7977.1484375,7977.2998046875,8031.85009765625,7913.7001953125,7986.25,0
2008-04-09,8114.04638671875,8114.2001953125,8140.25,7911.2001953125,7966.39990234375,0
2008-04-10,8063.14697265625,8063.2998046875,8199.349609375,8037.85009765625,8104.2998046875,0
2008-04-11,8099.896484375,8100.0498046875,8169.2001953125,8039.0498046875,8103.5498046875,0
2008-04-15,8248.494140625,8248.650390625,8272.0,8014.89990234375,8049.9501953125,0
2008-04-16,8341.0419921875,8341.2001953125,8459.5,8310.650390625,8359.650390625,0
2008-04-17,8573.1875,8573.349609375,8602.5,8424.849609375,8424.849609375,0
2008-04-21,8772.583984375,8772.75,8792.5,8587.75,8587.75,0
2008-04-22,8958.1796875,8958.349609375,8970.2001953125,8733.400390625,8774.150390625,0
2008-04-23,8894.5810546875,8894.75,9036.75,8846.7998046875,8996.5,0
2008-04-24,8836.232421875,8836.400390625,9004.099609375,8816.400390625,8921.4501953125,0
2008-04-25,8963.6298828125,8963.7998046875,8976.75,8791.849609375,8869.5,0
2008-04-28,8996.37890625,8996.5498046875,9086.599609375,8957.349609375,8993.849609375,0
2008-04-29,9179.92578125,9180.099609375,9197.0498046875,8993.599609375,9016.4501953125,0
2008-04-30,9170.7763671875,9170.9501953125,9272.25,9146.0,9186.599609375,0
2008-05-02,9363.6220703125,9363.7998046875,9405.7001953125,9236.400390625,9236.400390625,0
2008-05-05,9435.771484375,9435.9501953125,9541.0,9363.2001953125,9366.349609375,0
2008-05-06,9257.07421875,9257.25,9447.7998046875,9185.7001953125,9426.2998046875,0
2008-05-07,9159.826171875,9160.0,9279.2998046875,9128.2998046875,9247.4501953125,0
2008-05-08,8964.48046875,8964.650390625,9100.0498046875,8946.2001953125,9100.0498046875,0
2008-05-09,8660.8359375,8661.0,8986.849609375,8606.25,8952.849609375,0
2008-05-12,8653.6357421875,8653.7998046875,8669.849609375,8398.349609375,8604.349609375,0
2008-05-13,8664.1357421875,8664.2998046875,8873.349609375,8635.7998046875,8644.9501953125,0
2008-05-14,8750.083984375,8750.25,8771.400390625,8597.7998046875,8625.25,0
2008-05-15,8910.380859375,8910.5498046875,8924.849609375,8767.400390625,8767.400390625,0
2008-05-16,9014.7294921875,9014.900390625,9036.2001953125,8951.900390625,8958.400390625,0
2008-05-20,8887.53125,8887.7001953125,9000.349609375,8821.9501953125,8987.75,0
2008-05-21,8895.130859375,8895.2998046875,8920.5498046875,8782.0,8849.650390625,0
2008-05-22,8704.9345703125,8705.099609375,8858.599609375,8684.849609375,8858.599609375,0
2008-05-23,8540.837890625,8541.0,8807.5498046875,8525.349609375,8719.75,0
2008-05-26,8244.693359375,8244.849609375,8476.25,8228.0498046875,8476.25,0
2008-05-27,8112.34619140625,8112.5,8359.7998046875,8075.5,8327.25,0
2008-05-28,8278.6923828125,8278.849609375,8300.599609375,8080.25,8133.5,0
2008-05-29,8210.544921875,8210.7001953125,8371.599609375,8162.2998046875,8342.5498046875,0
2008-05-30,8221.193359375,8221.349609375,8305.2001953125,8113.25,8281.349609375,0
2008-06-02,7939.44970703125,7939.60009765625,8305.150390625,7881.4501953125,8228.2001953125,0
2008-06-03,7897.55029296875,7897.7001953125,7929.35009765625,7705.9501953125,7880.4501953125,0
2008-06-04,7595.85595703125,7596.0,7960.39990234375,7569.89990234375,7905.0,0
2008-06-05,7749.80322265625,7749.9501953125,7778.85009765625,7471.39990234375,7596.35009765625,0
2008-06-06,7648.0048828125,7648.14990234375,7854.0498046875,7622.0498046875,7783.25,0
2008-06-09,7357.41015625,7357.5498046875,7450.89990234375,7158.2998046875,7448.35009765625,0
2008-06-10,7225.61328125,7225.75,7430.9501953125,7126.9501953125,7325.85009765625,0
2008-06-11,7376.810546875,7376.9501953125,7396.0,7272.0498046875,7272.0498046875,0
2008-06-12,7414.8095703125,7414.9501953125,7425.0,7123.14990234375,7254.4501953125,0
2008-06-13,7404.60986328125,7404.75,7478.60009765625,7362.9501953125,7445.0498046875,0
2008-06-16,7483.9580078125,7484.10009765625,7589.0498046875,7442.89990234375,7442.89990234375,0
2008-06-17,7752.65283203125,7752.7998046875,7767.0,7453.9501953125,7486.89990234375,0
2008-06-18,7603.7060546875,7603.85009765625,7836.0,7584.89990234375,7768.35009765625,0
2008-06-19,7410.6591796875,7410.7998046875,7542.64990234375,7397.25,7542.64990234375,0
2008-06-20,7105.8154296875,7105.9501953125,7464.2998046875,7065.7001953125,7443.2001953125,0
2008-06-23,6797.4208984375,6797.5498046875,7050.85009765625,6773.0,7043.2001953125,0
2008-06-24,6699.8232421875,6699.9501953125,6891.2001953125,6652.89990234375,6831.5,0
2008-06-25,6790.9208984375,6791.0498046875,6808.75,6530.25,6658.7001953125,0
2008-06-26,6761.822265625,6761.9501953125,6935.39990234375,6730.35009765625,6826.2998046875,0
2008-06-27,6488.02685546875,6488.14990234375,6624.7998046875,6466.5,6624.7998046875,0
2008-06-30,6233.08203125,6233.2001953125,6535.39990234375,6201.0498046875,6495.14990234375,0
2008-07-01,5916.6376953125,5916.75,6269.64990234375,5904.64990234375,6239.2001953125,0
2008-07-02,6276.3310546875,6276.4501953125,6326.4501953125,5756.85009765625,5909.9501953125,0
2008-07-03,5982.38671875,5982.5,6255.75,5860.60009765625,6255.75,0
2008-07-04,6218.93212890625,6219.0498046875,6244.10009765625,5899.89990234375,5979.10009765625,0
2008-07-07,6360.7294921875,6360.85009765625,6507.4501953125,6250.0,6250.0,0
2008-07-08,6371.57958984375,6371.7001953125,6447.39990234375,6116.2001953125,6250.2001953125,0
2008-07-09,6699.5732421875,6699.7001953125,6718.39990234375,6472.0498046875,6472.0498046875,0
2008-07-10,6691.27294921875,6691.39990234375,6734.75,6572.2001953125,6652.25,0
2008-07-11,6446.6279296875,6446.75,6752.7998046875,6382.10009765625,6729.60009765625,0
2008-07-14,6382.37890625,6382.5,6525.2001953125,6319.4501953125,6387.7001953125,0
2008-07-15,6118.78369140625,6118.89990234375,6313.7998046875,6089.0498046875,6313.7998046875,0
2008-07-16,6012.08642578125,6012.2001953125,6208.2998046875,5955.64990234375,6118.7998046875,0
2008-07-17,6205.43212890625,6205.5498046875,6244.75,6101.0498046875,6139.85009765625,0
2008-07-18,6395.22900390625,6395.35009765625,6418.7998046875,6201.2001953125,6236.5498046875,0
2008-07-21,6434.22802734375,6434.35009765625,6462.75,6312.60009765625,6454.39990234375,0
2008-07-22,6648.52392578125,6648.64990234375,6673.0,6437.0498046875,6438.7001953125,0
2008-07-23,7164.064453125,7164.2001953125,7203.7998046875,6820.4501953125,6820.4501953125,0
2008-07-24,7117.115234375,7117.25,7363.2001953125,7029.39990234375,7225.14990234375,0
2008-07-25,6985.267578125,6985.39990234375,7076.9501953125,6919.9501953125,7024.60009765625,0
2008-07-28,7024.66650390625,7024.7998046875,7060.7998046875,6946.4501953125,6986.85009765625,0
2008-07-29,6650.52392578125,6650.64990234375,6948.7998046875,6627.7001953125,6948.7998046875,0
2008-07-30,6924.96875,6925.10009765625,6942.85009765625,6719.39990234375,6719.39990234375,0
2008-07-31,6936.66845703125,6936.7998046875,6974.7998046875,6862.7001953125,6956.39990234375,0
2008-08-01,7166.064453125,7166.2001953125,7177.14990234375,6799.5498046875,6877.7998046875,0
2008-08-04,7256.8623046875,7257.0,7326.5,7129.0498046875,7148.89990234375,0
2008-08-05,7515.75732421875,7515.89990234375,7530.5,7213.39990234375,7213.39990234375,0
2008-08-06,7420.25927734375,7420.39990234375,7711.39990234375,7392.14990234375,7651.0,0
2008-08-07,7442.90869140625,7443.0498046875,7521.39990234375,7369.85009765625,7369.85009765625,0
2008-08-08,7465.25830078125,7465.39990234375,7486.9501953125,7313.4501953125,7398.5,0
2008-08-11,7654.90478515625,7655.0498046875,7679.4501953125,7580.14990234375,7584.64990234375,0
2008-08-12,7513.00732421875,7513.14990234375,7695.75,7462.9501953125,7656.2001953125,0
2008-08-13,7439.65869140625,7439.7998046875,7551.4501953125,7430.75,7474.2001953125,0
2008-08-14,7173.46435546875,7173.60009765625,7409.0498046875,7157.2001953125,7406.0,0
2008-08-18,7080.4658203125,7080.60009765625,7229.4501953125,7059.39990234375,7156.7998046875,0
2008-08-19,7028.81689453125,7028.9501953125,7072.10009765625,6927.14990234375,7036.2001953125,0
2008-08-20,7100.365234375,7100.5,7137.5,7068.85009765625,7068.85009765625,0
2008-08-21,6896.619140625,6896.75,7079.60009765625,6876.4501953125,7078.60009765625,0
2008-08-22,6956.3681640625,6956.5,6965.4501953125,6826.5498046875,6865.14990234375,0
2008-08-25,6987.517578125,6987.64990234375,7103.75,6973.75,7044.2001953125,0
2008-08-26,7007.9169921875,7008.0498046875,7025.7998046875,6899.4501953125,6921.25,0
2008-08-27,6940.46875,6940.60009765625,7093.4501953125,6927.10009765625,7093.4501953125,0
2008-08-28,6881.61962890625,6881.75,6965.5498046875,6867.9501953125,6924.60009765625,0
2008-08-29,7138.16455078125,7138.2998046875,7148.64990234375,6945.60009765625,6945.60009765625,0
2008-09-01,7109.865234375,7110.0,7127.10009765625,7022.2998046875,7118.2001953125,0
2008-09-02,7371.8603515625,7372.0,7400.25,7126.85009765625,7126.85009765625,0
2008-09-04,7322.611328125,7322.75,7352.5,7225.64990234375,7336.14990234375,0
2008-09-05,7103.51513671875,7103.64990234375,7202.85009765625,7090.64990234375,7191.85009765625,0
2008-09-08,7237.56298828125,7237.7001953125,7363.7001953125,7227.4501953125,7294.14990234375,0
2008-09-09,7168.9140625,7169.0498046875,7209.9501953125,7138.25,7195.10009765625,0
2008-09-10,7094.31591796875,7094.4501953125,7211.5498046875,7057.2998046875,7140.4501953125,0
2008-09-11,7006.01708984375,7006.14990234375,7117.2998046875,6986.7001953125,7067.7001953125,0
2008-09-12,6842.669921875,6842.7998046875,7080.39990234375,6815.89990234375,7046.39990234375,0
2008-09-15,6513.7763671875,6513.89990234375,6713.35009765625,6329.4501953125,6712.14990234375,0
2008-09-16,6510.67626953125,6510.7998046875,6528.7998046875,6241.25,6374.60009765625,0
2008-09-17,6319.43017578125,6319.5498046875,6578.0498046875,6284.39990234375,6555.64990234375,0
2008-09-18,6306.98046875,6307.10009765625,6340.14990234375,5939.0,6138.5,0
2008-09-19,6591.4248046875,6591.5498046875,6622.7998046875,6442.35009765625,6475.60009765625,0
2008-09-22,6547.02587890625,6547.14990234375,6675.2001953125,6514.7998046875,6662.75,0
2008-09-23,6377.62890625,6377.75,6520.64990234375,6363.2998046875,6471.35009765625,0
2008-09-24,6423.17822265625,6423.2998046875,6492.7998046875,6372.10009765625,6396.5498046875,0
2008-09-25,6366.87939453125,6367.0,6441.7998046875,6320.35009765625,6434.14990234375,0
2008-09-26,6162.58349609375,6162.7001953125,6366.7001953125,6142.0,6341.7998046875,0
2008-09-29,5884.9384765625,5885.0498046875,6168.85009765625,5797.64990234375,6166.39990234375,0
2008-09-30,6043.03515625,6043.14990234375,6086.85009765625,5633.10009765625,5811.14990234375,0
2008-10-01,6105.58447265625,6105.7001953125,6203.64990234375,5960.39990234375,6070.10009765625,0
2008-10-03,5887.2880859375,5887.39990234375,6111.5,5871.2998046875,6106.4501953125,0
2008-10-06,5513.79541015625,5513.89990234375,5807.4501953125,5489.0,5807.4501953125,0
2008-10-07,5434.64697265625,5434.75,5676.64990234375,5342.35009765625,5585.7001953125,0
2008-10-08,5165.3017578125,5165.39990234375,5354.5,4908.10009765625,5354.5,0
2008-10-10,4715.310546875,4715.39990234375,5138.7001953125,4633.39990234375,5138.7001953125,0
2008-10-13,5017.45458984375,5017.5498046875,5045.14990234375,4775.14990234375,4775.14990234375,0
2008-10-14,5120.802734375,5120.89990234375,5346.85009765625,5068.85009765625,5068.85009765625,0
2008-10-15,4851.158203125,4851.25,5052.7998046875,4841.5,5052.7998046875,0
2008-10-16,4835.3583984375,4835.4501953125,4891.7998046875,4559.0,4679.5,0
2008-10-17,4670.36181640625,4670.4501953125,4950.60009765625,4641.0,4893.7001953125,0
2008-10-20,4709.7607421875,4709.85009765625,4818.75,4625.64990234375,4706.64990234375,0
2008-10-21,4896.05712890625,4896.14990234375,4923.64990234375,4756.0,4775.5,0
2008-10-22,4719.61083984375,4719.7001953125,4873.7001953125,4702.9501953125,4849.0498046875,0
2008-10-23,4552.46337890625,4552.5498046875,4708.5498046875,4517.2001953125,4707.39990234375,0
2008-10-24,4104.37255859375,4104.4501953125,4507.4501953125,4064.800048828125,4505.5,0
2008-10-27,3878.326416015625,3878.39990234375,4087.64990234375,3603.199951171875,4060.64990234375,0
2008-10-29,4068.722900390625,4068.800048828125,4237.7998046875,4038.300048828125,4206.0,0
2008-10-31,4291.21826171875,4291.2998046875,4316.7998046875,4113.60009765625,4113.60009765625,0
2008-11-03,4508.064453125,4508.14990234375,4537.39990234375,4417.35009765625,4435.39990234375,0
2008-11-04,4756.85986328125,4756.9501953125,4770.75,4423.4501953125,4507.89990234375,0
2008-11-05,4635.2119140625,4635.2998046875,4937.64990234375,4608.10009765625,4788.85009765625,0
2008-11-06,4516.0146484375,4516.10009765625,4650.7998046875,4415.2001953125,4522.39990234375,0
2008-11-07,4605.2626953125,4605.35009765625,4650.2998046875,4458.2001953125,4502.0,0
2008-11-10,4826.40869140625,4826.5,4832.10009765625,4669.7001953125,4669.7001953125,0
2008-11-11,4587.76318359375,4587.85009765625,4795.2001953125,4571.64990234375,4787.39990234375,0
2008-11-12,4468.86572265625,4468.9501953125,4626.0,4418.2998046875,4553.35009765625,0
2008-11-14,4381.716796875,4381.7998046875,4621.0498046875,4358.75,4538.4501953125,0
2008-11-17,4231.27001953125,4231.35009765625,4409.5,4149.25,4392.4501953125,0
2008-11-18,4100.62255859375,4100.7001953125,4184.25,4079.89990234375,4180.9501953125,0
2008-11-19,3972.124755859375,3972.199951171875,4175.60009765625,3956.800048828125,4105.60009765625,0
2008-11-20,3822.527587890625,3822.60009765625,3875.449951171875,3756.60009765625,3875.449951171875,0
2008-11-21,3841.727294921875,3841.800048828125,3894.64990234375,3706.699951171875,3831.60009765625,0
2008-11-24,3813.32763671875,3813.39990234375,3884.60009765625,3767.14990234375,3833.550048828125,0
2008-11-25,3782.0283203125,3782.10009765625,3923.5,3759.39990234375,3874.75,0
2008-11-26,3830.62744140625,3830.699951171875,3838.699951171875,3711.25,3792.449951171875,0
2008-11-28,3848.777099609375,3848.85009765625,3857.5,3763.10009765625,3768.0,0
2008-12-01,3808.227783203125,3808.300048828125,3960.949951171875,3795.300048828125,3853.85009765625,0
2008-12-02,3814.427734375,3814.5,3832.199951171875,3675.5,3733.800048828125,0
2008-12-03,3907.276123046875,3907.35009765625,3917.800048828125,3834.199951171875,3848.0,0
2008-12-04,4099.17236328125,4099.25,4118.5498046875,3909.199951171875,3916.300048828125,0
2008-12-05,4035.923583984375,4036.0,4189.39990234375,4027.60009765625,4109.0,0
2008-12-08,4065.972900390625,4066.050048828125,4184.2998046875,4048.699951171875,4109.7998046875,0
2008-12-10,4203.17041015625,4203.25,4216.9501953125,4087.64990234375,4094.10009765625,0
